"Project Name","URL","ML libraries","Number of Contributors","Number of Stars"
"leonsim/simhash","https://github.com/leonsim/simhash.git","sklearn","8","650"
"AlexEMG/DeepLabCut","https://github.com/AlexEMG/DeepLabCut.git","sklearn,tensorflow","31","1405"
"testerSunshine/12306","https://github.com/testerSunshine/12306.git","keras,tensorflow","23","18786"
"nok/sklearn-porter","https://github.com/nok/sklearn-porter.git","sklearn","8","792"
"monikkinom/ner-lstm","https://github.com/monikkinom/ner-lstm.git","tensorflow","4","528"
"google/compare_gan","https://github.com/google/compare_gan.git","sklearn,tensorflow","4","1515"
"PaddlePaddle/models","https://github.com/PaddlePaddle/models.git","sklearn,caffe,tensorflow","191","3660"
"metric-learn/metric-learn","https://github.com/metric-learn/metric-learn.git","sklearn","18","961"
"open-mmlab/mmcv","https://github.com/open-mmlab/mmcv.git","torch","33","1354"
"cltk/cltk","https://github.com/cltk/cltk.git","sklearn","85","579"
"golismero/golismero","https://github.com/golismero/golismero.git","sklearn","10","686"
"titu1994/DenseNet","https://github.com/titu1994/DenseNet.git","sklearn,theano,keras,tensorflow","5","643"
"geek-ai/Texygen","https://github.com/geek-ai/Texygen.git","tensorflow","5","744"
"cs230-stanford/cs230-code-examples","https://github.com/cs230-stanford/cs230-code-examples.git","torch,tensorflow","6","1227"
"ultralytics/yolov3","https://github.com/ultralytics/yolov3.git","torch","23","3916"
"ikostrikov/pytorch-a3c","https://github.com/ikostrikov/pytorch-a3c.git","torch","7","748"
"trevorstephens/gplearn","https://github.com/trevorstephens/gplearn.git","sklearn","8","780"
"openai/multiagent-competition","https://github.com/openai/multiagent-competition.git","tensorflow","3","608"
"zhanghang1989/PyTorch-Encoding","https://github.com/zhanghang1989/PyTorch-Encoding.git","torch","3","1229"
"dpressel/rude-carnie","https://github.com/dpressel/rude-carnie.git","tensorflow","4","805"
"ryfeus/lambda-packs","https://github.com/ryfeus/lambda-packs.git","sklearn,caffe,theano,tensorflow,keras,torch","6","884"
"kuaikuaikim/DFace","https://github.com/kuaikuaikim/DFace.git","torch","4","886"
"undertheseanlp/underthesea","https://github.com/undertheseanlp/underthesea.git","sklearn","6","680"
"ilivans/tf-rnn-attention","https://github.com/ilivans/tf-rnn-attention.git","keras,tensorflow","3","697"
"pannous/tensorflow-ocr","https://github.com/pannous/tensorflow-ocr.git","keras,tensorflow","3","614"
"wkentaro/pytorch-fcn","https://github.com/wkentaro/pytorch-fcn.git","caffe,torch","3","1081"
"wendykan/DeepLearningMovies","https://github.com/wendykan/DeepLearningMovies.git","sklearn","4","606"
"stared/livelossplot","https://github.com/stared/livelossplot.git","torch,keras,tensorflow","12","820"
"mapillary/inplace_abn","https://github.com/mapillary/inplace_abn.git","torch","4","923"
"Microsoft/dowhy","https://github.com/Microsoft/dowhy.git","sklearn","27","1804"
"Kaixhin/Rainbow","https://github.com/Kaixhin/Rainbow.git","torch","6","904"
"tensorlayer/seq2seq-chatbot","https://github.com/tensorlayer/seq2seq-chatbot.git","sklearn,tensorflow","7","718"
"vitchyr/rlkit","https://github.com/vitchyr/rlkit.git","torch","12","1139"
"maxpumperla/betago","https://github.com/maxpumperla/betago.git","keras,tensorflow","8","626"
"mindsdb/mindsdb","https://github.com/mindsdb/mindsdb.git","sklearn,torch,tensorflow","29","2465"
"crownpku/Rasa_NLU_Chi","https://github.com/crownpku/Rasa_NLU_Chi.git","sklearn,tensorflow","78","964"
"williamleif/GraphSAGE","https://github.com/williamleif/GraphSAGE.git","sklearn,tensorflow","6","1538"
"iperov/DeepFaceLab","https://github.com/iperov/DeepFaceLab.git","torch,keras,tensorflow","16","11395"
"farzaa/DeepLeague","https://github.com/farzaa/DeepLeague.git","keras,tensorflow","4","715"
"bonlime/keras-deeplab-v3-plus","https://github.com/bonlime/keras-deeplab-v3-plus.git","keras,tensorflow","10","1043"
"tensorflow/benchmarks","https://github.com/tensorflow/benchmarks.git","tensorflow","57","772"
"LiyuanLucasLiu/LM-LSTM-CRF","https://github.com/LiyuanLucasLiu/LM-LSTM-CRF.git","torch","7","711"
"lebedov/scikit-cuda","https://github.com/lebedov/scikit-cuda.git","sklearn","35","719"
"InFoCusp/tf_cnnvis","https://github.com/InFoCusp/tf_cnnvis.git","tensorflow","7","737"
"StanfordVL/taskonomy","https://github.com/StanfordVL/taskonomy.git","sklearn,torch,tensorflow","3","651"
"AxeldeRomblay/MLBox","https://github.com/AxeldeRomblay/MLBox.git","sklearn,keras","3","1045"
"CGCookie/retopoflow","https://github.com/CGCookie/retopoflow.git","sklearn","10","798"
"Tencent/Metis","https://github.com/Tencent/Metis.git","sklearn","5","931"
"zake7749/Chatbot","https://github.com/zake7749/Chatbot.git","sklearn","4","790"
"Kamnitsask/deepmedic","https://github.com/Kamnitsask/deepmedic.git","tensorflow","6","671"
"pystruct/pystruct","https://github.com/pystruct/pystruct.git","sklearn","15","623"
"isseu/emotion-recognition-neural-networks","https://github.com/isseu/emotion-recognition-neural-networks.git","sklearn","5","720"
