"Project Name","URL","ML libraries","Number of Contributors","Number of Stars"
"kubeflow/examples","https://github.com/kubeflow/examples.git","sklearn,tensorflow,keras,torch","70","801"
"tensorflow/kfac","https://github.com/tensorflow/kfac.git","tensorflow,keras","6","136"
"marcotcr/anchor","https://github.com/marcotcr/anchor.git","sklearn,torch","8","563"
"hadipash/AI_GTA5","https://github.com/hadipash/AI_GTA5.git","sklearn,keras,tensorflow","3","57"
"kubeflow/example-seldon","https://github.com/kubeflow/example-seldon.git","sklearn,tensorflow","5","139"
"shakedzy/dython","https://github.com/shakedzy/dython.git","sklearn","4","80"
"samuelschen/DSB2018","https://github.com/samuelschen/DSB2018.git","sklearn,torch","3","58"
"poloclub/jpeg-defense","https://github.com/poloclub/jpeg-defense.git","tensorflow","6","65"
"ideo/LaughDetection","https://github.com/ideo/LaughDetection.git","keras,tensorflow","3","80"
"rodluger/starry","https://github.com/rodluger/starry.git","theano","8","76"
"IBM/FfDL","https://github.com/IBM/FfDL.git","sklearn,keras,tensorflow,torch","13","600"
"intra2net/guibot","https://github.com/intra2net/guibot.git","torch","4","63"
"BerkeleyAutomation/sd-maskrcnn","https://github.com/BerkeleyAutomation/sd-maskrcnn.git","sklearn,keras,tensorflow","6","117"
"BindsNET/bindsnet","https://github.com/BindsNET/bindsnet.git","sklearn,torch","14","525"
"rk2900/DRSA","https://github.com/rk2900/DRSA.git","sklearn,tensorflow","3","67"
"Goldesel23/Siamese-Networks-for-One-Shot-Learning","https://github.com/Goldesel23/Siamese-Networks-for-One-Shot-Learning.git","keras,tensorflow","3","255"
"alexandonian/pretorched-x","https://github.com/alexandonian/pretorched-x.git","sklearn,torch","15","254"
"SAP-samples/machine-learning-diff-private-federated-learning","https://github.com/SAP-samples/machine-learning-diff-private-federated-learning.git","tensorflow","3","112"
"karolzak/support-tickets-classification","https://github.com/karolzak/support-tickets-classification.git","sklearn","4","79"
"RaphaelMeudec/deblur-gan","https://github.com/RaphaelMeudec/deblur-gan.git","keras,tensorflow","5","378"
"carlomazzaferro/kryptoflow","https://github.com/carlomazzaferro/kryptoflow.git","sklearn,tensorflow,keras","3","61"
"ternaus/robot-surgery-segmentation","https://github.com/ternaus/robot-surgery-segmentation.git","torch","4","477"
"adeshpande3/March-Madness-ML","https://github.com/adeshpande3/March-Madness-ML.git","sklearn,keras","5","153"
"taishi-i/nagisa","https://github.com/taishi-i/nagisa.git","sklearn","5","178"
"chakki-works/seqeval","https://github.com/chakki-works/seqeval.git","keras","5","252"
"BaderLab/saber","https://github.com/BaderLab/saber.git","sklearn,keras,tensorflow","3","62"
"nvcuong/variational-continual-learning","https://github.com/nvcuong/variational-continual-learning.git","tensorflow,keras","3","94"
"schollz/find3","https://github.com/schollz/find3.git","sklearn","15","3812"
"antspy/quantized_distillation","https://github.com/antspy/quantized_distillation.git","sklearn,torch","3","232"
"amazonqa/amazonqa","https://github.com/amazonqa/amazonqa.git","sklearn,theano,tensorflow,torch","5","57"
"scikit-learn-contrib/stability-selection","https://github.com/scikit-learn-contrib/stability-selection.git","sklearn","4","110"
"fangchangma/sparse-to-dense.pytorch","https://github.com/fangchangma/sparse-to-dense.pytorch.git","torch","4","266"
"ModelOriented/DALEX","https://github.com/ModelOriented/DALEX.git","sklearn","11","531"
"scikit-learn-contrib/skope-rules","https://github.com/scikit-learn-contrib/skope-rules.git","sklearn","15","304"
"kolloldas/torchnlp","https://github.com/kolloldas/torchnlp.git","torch","3","204"
"nyu-dl/dl4mt-nonauto","https://github.com/nyu-dl/dl4mt-nonauto.git","torch","3","87"
"reinforcement-learning-kr/alpha_omok","https://github.com/reinforcement-learning-kr/alpha_omok.git","torch","4","52"
"EvilPort2/Sign-Language","https://github.com/EvilPort2/Sign-Language.git","sklearn,tensorflow,keras","4","610"
"kevinzakka/pytorch-goodies","https://github.com/kevinzakka/pytorch-goodies.git","torch","4","297"
"zomux/neuralcompressor","https://github.com/zomux/neuralcompressor.git","tensorflow","3","63"
"openfoodfacts/openfoodfacts-ai","https://github.com/openfoodfacts/openfoodfacts-ai.git","torch,tensorflow,keras","6","89"
"BelBES/crnn-pytorch","https://github.com/BelBES/crnn-pytorch.git","torch","3","156"
"dorukkilitcioglu/books2rec","https://github.com/dorukkilitcioglu/books2rec.git","sklearn,tensorflow","3","76"
"AMLab-Amsterdam/AttentionDeepMIL","https://github.com/AMLab-Amsterdam/AttentionDeepMIL.git","torch","3","253"
"silvandeleemput/memcnn","https://github.com/silvandeleemput/memcnn.git","torch","5","119"
"linxid/Machine_Learning_Study_Path","https://github.com/linxid/Machine_Learning_Study_Path.git","sklearn","4","582"
"mravanelli/pytorch-kaldi","https://github.com/mravanelli/pytorch-kaldi.git","torch","9","1403"
"CalciferZh/SMPL","https://github.com/CalciferZh/SMPL.git","torch,tensorflow","3","307"
"udacity/AIPND","https://github.com/udacity/AIPND.git","torch","7","312"
"yikangshen/PRPN","https://github.com/yikangshen/PRPN.git","torch","3","82"
"aws/sagemaker-pytorch-container","https://github.com/aws/sagemaker-pytorch-container.git","torch","24","71"
"microsoft/Windows-Machine-Learning","https://github.com/microsoft/Windows-Machine-Learning.git","sklearn,keras,tensorflow","34","551"
"MolSSI/QCEngine","https://github.com/MolSSI/QCEngine.git","torch","19","55"
"allenai/propara","https://github.com/allenai/propara.git","torch","4","71"
"Diego999/pyGAT","https://github.com/Diego999/pyGAT.git","torch","3","687"
"pmaji/data-science-toolkit","https://github.com/pmaji/data-science-toolkit.git","sklearn","4","153"
"tensorflow/tfjs","https://github.com/tensorflow/tfjs.git","tensorflow,keras","232","13341"
"conversationai/conversationai-models","https://github.com/conversationai/conversationai-models.git","sklearn,keras,tensorflow","14","108"
"DCASE-REPO/dcase2018_baseline","https://github.com/DCASE-REPO/dcase2018_baseline.git","sklearn,tensorflow,keras","7","106"
"dmbee/seglearn","https://github.com/dmbee/seglearn.git","sklearn,keras,tensorflow","12","284"
"fastnlp/fastNLP","https://github.com/fastnlp/fastNLP.git","sklearn,torch","27","1055"
"aertslab/pySCENIC","https://github.com/aertslab/pySCENIC.git","sklearn","6","67"
"weecology/DeepForest","https://github.com/weecology/DeepForest.git","tensorflow,keras","3","51"
"oxwhirl/treeqn","https://github.com/oxwhirl/treeqn.git","tensorflow,torch","3","66"
"IBM/MAX-Object-Detector","https://github.com/IBM/MAX-Object-Detector.git","tensorflow","18","60"
"NirantK/nlp-python-deep-learning","https://github.com/NirantK/nlp-python-deep-learning.git","sklearn","3","300"
"huseinzol05/Malaya","https://github.com/huseinzol05/Malaya.git","sklearn,torch,tensorflow,keras","7","167"
"fizyr/keras-maskrcnn","https://github.com/fizyr/keras-maskrcnn.git","keras,tensorflow","6","301"
"mozilla/bugbug","https://github.com/mozilla/bugbug.git","sklearn,keras,tensorflow","56","199"
"spotify/zoltar","https://github.com/spotify/zoltar.git","tensorflow","17","110"
"dirty-cat/dirty_cat","https://github.com/dirty-cat/dirty_cat.git","sklearn","11","162"
"JasonYao81000/MLDS2018SPRING","https://github.com/JasonYao81000/MLDS2018SPRING.git","sklearn,keras,tensorflow,torch","4","95"
"Guillemdb/FractalAI","https://github.com/Guillemdb/FractalAI.git","torch,keras,tensorflow","5","92"
"onnx/tensorflow-onnx","https://github.com/onnx/tensorflow-onnx.git","keras,tensorflow","38","557"
"feedly/ml-demos","https://github.com/feedly/ml-demos.git","keras,torch","3","107"
"Morgan-Stanley/testplan","https://github.com/Morgan-Stanley/testplan.git","sklearn","13","73"
"IBM/adversarial-robustness-toolbox","https://github.com/IBM/adversarial-robustness-toolbox.git","sklearn,tensorflow,keras,torch","28","1200"
"fatchord/WaveRNN","https://github.com/fatchord/WaveRNN.git","torch","4","759"
"bricewalker/Hey-Jetson","https://github.com/bricewalker/Hey-Jetson.git","sklearn,tensorflow,keras","3","138"
"PacktPublishing/Hands-On-Data-Structures-and-Algorithms-with-Python-Second-Edition","https://github.com/PacktPublishing/Hands-On-Data-Structures-and-Algorithms-with-Python-Second-Edition.git","sklearn","3","55"
"SPFlow/SPFlow","https://github.com/SPFlow/SPFlow.git","sklearn,tensorflow,torch","15","117"
"omni-us/squeezedet-keras","https://github.com/omni-us/squeezedet-keras.git","sklearn,tensorflow,keras","5","120"
"koomri/text-segmentation","https://github.com/koomri/text-segmentation.git","torch","3","71"
"intel-iot-devkit/smart-video-workshop","https://github.com/intel-iot-devkit/smart-video-workshop.git","keras,tensorflow","8","195"
"ctr4si/A-Hierarchical-Latent-Structure-for-Variational-Conversation-Modeling","https://github.com/ctr4si/A-Hierarchical-Latent-Structure-for-Variational-Conversation-Modeling.git","torch","4","124"
"surya-veer/RealTime-DigitRecognition","https://github.com/surya-veer/RealTime-DigitRecognition.git","keras","3","73"
"zfit/zfit","https://github.com/zfit/zfit.git","tensorflow","11","54"
"pyiron/pyiron","https://github.com/pyiron/pyiron.git","sklearn","11","72"
"parrt/random-forest-importances","https://github.com/parrt/random-forest-importances.git","sklearn","10","338"
"amansrivastava17/lstm-siamese-text-similarity","https://github.com/amansrivastava17/lstm-siamese-text-similarity.git","keras","3","157"
"tensorflow/model-analysis","https://github.com/tensorflow/model-analysis.git","tensorflow","22","921"
"xingetouzi/jaqs-fxdayu","https://github.com/xingetouzi/jaqs-fxdayu.git","sklearn","5","88"
"facebookarchive/tutorials","https://github.com/facebookarchive/tutorials.git","sklearn","21","115"
"DeepReinforcementLearning/DeepReinforcementLearningInAction","https://github.com/DeepReinforcementLearning/DeepReinforcementLearningInAction.git","torch","6","202"
"david-cortes/contextualbandits","https://github.com/david-cortes/contextualbandits.git","sklearn","4","196"
"art-programmer/FloorNet","https://github.com/art-programmer/FloorNet.git","tensorflow","4","89"
"ternaus/angiodysplasia-segmentation","https://github.com/ternaus/angiodysplasia-segmentation.git","sklearn,torch","4","61"
"siyucosmo/ML-Recon","https://github.com/siyucosmo/ML-Recon.git","torch","3","119"
"Lyken17/Efficient-PyTorch","https://github.com/Lyken17/Efficient-PyTorch.git","torch","3","391"
"Sharad24/Neural-Voice-Cloning-with-Few-Samples","https://github.com/Sharad24/Neural-Voice-Cloning-with-Few-Samples.git","tensorflow,torch","3","180"
"sebastianGehrmann/bottom-up-summary","https://github.com/sebastianGehrmann/bottom-up-summary.git","sklearn","4","120"
"eti-p-doray/unet-gan-matting","https://github.com/eti-p-doray/unet-gan-matting.git","tensorflow","3","124"
"whr94621/NJUNMT-pytorch","https://github.com/whr94621/NJUNMT-pytorch.git","torch","4","65"
"raphaelvallat/pingouin","https://github.com/raphaelvallat/pingouin.git","sklearn","6","246"
"awesome-davian/Text2Colors","https://github.com/awesome-davian/Text2Colors.git","torch","3","89"
"aiqm/torchani","https://github.com/aiqm/torchani.git","torch","8","123"
"kubeflow/katib","https://github.com/kubeflow/katib.git","sklearn,tensorflow,keras,torch","51","726"
"tuanad121/Python-WORLD","https://github.com/tuanad121/Python-WORLD.git","keras","3","67"
"shangtse/robust-physical-attack","https://github.com/shangtse/robust-physical-attack.git","tensorflow","3","85"
"hendrycks/robustness","https://github.com/hendrycks/robustness.git","torch","3","231"
"allenai/deepfigures-open","https://github.com/allenai/deepfigures-open.git","tensorflow","3","73"
"neptune-ml/open-solution-mapping-challenge","https://github.com/neptune-ml/open-solution-mapping-challenge.git","sklearn,tensorflow,keras,torch","7","206"
"endgameinc/ember","https://github.com/endgameinc/ember.git","sklearn,keras,tensorflow","4","440"
"aravindr93/mjrl","https://github.com/aravindr93/mjrl.git","torch","4","76"
"stanfordnlp/mac-network","https://github.com/stanfordnlp/mac-network.git","torch,tensorflow","4","397"
"dgwozdz/HN_SO_analysis","https://github.com/dgwozdz/HN_SO_analysis.git","sklearn","3","93"
"NeuroTechX/eeg-notebooks","https://github.com/NeuroTechX/eeg-notebooks.git","sklearn","8","163"
"YinghaoHuang91/MuVS","https://github.com/YinghaoHuang91/MuVS.git","tensorflow","3","71"
"ChiWeiHsiao/DeepVO-pytorch","https://github.com/ChiWeiHsiao/DeepVO-pytorch.git","torch","3","96"
"sagelywizard/pytorch-mdn","https://github.com/sagelywizard/pytorch-mdn.git","torch","3","68"
"bitextor/bitextor","https://github.com/bitextor/bitextor.git","sklearn,keras","16","114"
"amiralansary/rl-medical","https://github.com/amiralansary/rl-medical.git","tensorflow","5","81"
"vcg-uvic/learned-correspondence-release","https://github.com/vcg-uvic/learned-correspondence-release.git","tensorflow","3","135"
"thu-ml/tianshou","https://github.com/thu-ml/tianshou.git","torch","3","134"
"hammerlab/cytokit","https://github.com/hammerlab/cytokit.git","sklearn,keras,tensorflow","4","70"
"XanaduAI/pennylane","https://github.com/XanaduAI/pennylane.git","torch,tensorflow","21","419"
"ucbrise/flor","https://github.com/ucbrise/flor.git","sklearn,torch,tensorflow","7","84"
"chainer/models","https://github.com/chainer/models.git","sklearn,tensorflow,torch","13","79"
"mbechtel2/DeepPicar-v2","https://github.com/mbechtel2/DeepPicar-v2.git","tensorflow","4","90"
"haven-jeon/PyKoSpacing","https://github.com/haven-jeon/PyKoSpacing.git","keras","4","121"
"thulab/DeepHash","https://github.com/thulab/DeepHash.git","sklearn,tensorflow","5","287"
"KDD-OpenSource/DeepADoTS","https://github.com/KDD-OpenSource/DeepADoTS.git","sklearn,tensorflow,torch","7","163"
"dragonfly/dragonfly","https://github.com/dragonfly/dragonfly.git","sklearn,tensorflow","7","457"
"episodeyang/ml_logger","https://github.com/episodeyang/ml_logger.git","tensorflow,torch","4","104"
"dmackenz/Keras-Neuro-Evolution-Trading-Bot-Skeleton","https://github.com/dmackenz/Keras-Neuro-Evolution-Trading-Bot-Skeleton.git","keras","3","72"
"Pzoom522/MusiCoder","https://github.com/Pzoom522/MusiCoder.git","tensorflow","4","116"
"NervanaSystems/distiller","https://github.com/NervanaSystems/distiller.git","sklearn,torch,tensorflow","24","2909"
"BlackArbsCEO/Adv_Fin_ML_Exercises","https://github.com/BlackArbsCEO/Adv_Fin_ML_Exercises.git","sklearn","4","754"
"PaddlePaddle/PARL","https://github.com/PaddlePaddle/PARL.git","torch,tensorflow","9","557"
"gangadhar-p/NucleiDetectron","https://github.com/gangadhar-p/NucleiDetectron.git","sklearn,caffe","6","55"
"fatiando/verde","https://github.com/fatiando/verde.git","sklearn","8","154"
"SocialGouv/code-du-travail-numerique","https://github.com/SocialGouv/code-du-travail-numerique.git","tensorflow","26","63"
"hazirbas/poselstm-pytorch","https://github.com/hazirbas/poselstm-pytorch.git","torch","21","75"
"isayev/ReLeaSE","https://github.com/isayev/ReLeaSE.git","sklearn,torch","3","168"
"BCV-Uniandes/AUNets","https://github.com/BCV-Uniandes/AUNets.git","sklearn,torch,tensorflow","3","66"
"foamliu/Car-Recognition","https://github.com/foamliu/Car-Recognition.git","sklearn,keras","3","174"
"ShinyCode/image-outpainting","https://github.com/ShinyCode/image-outpainting.git","tensorflow","3","51"
"dagster-io/dagster","https://github.com/dagster-io/dagster.git","keras","44","1206"
"TrustAI/DeepConcolic","https://github.com/TrustAI/DeepConcolic.git","keras,tensorflow","5","51"
"OlafenwaMoses/IdenProf","https://github.com/OlafenwaMoses/IdenProf.git","tensorflow,keras","3","92"
"quantylab/rltrader","https://github.com/quantylab/rltrader.git","keras","3","98"
"Azure/aml-real-time-ai","https://github.com/Azure/aml-real-time-ai.git","tensorflow","10","143"
"deep-fry/mayo","https://github.com/deep-fry/mayo.git","tensorflow","4","80"
"martkartasev/sepconv","https://github.com/martkartasev/sepconv.git","torch","4","89"
"NVIDIA/tacotron2","https://github.com/NVIDIA/tacotron2.git","torch,tensorflow","9","1805"
"9bow/PyTorch-tutorials-kr","https://github.com/9bow/PyTorch-tutorials-kr.git","tensorflow,torch","15","92"
"majingCUHK/Rumor_RvNN","https://github.com/majingCUHK/Rumor_RvNN.git","theano","3","65"
"pymc-devs/pymc4","https://github.com/pymc-devs/pymc4.git","tensorflow","26","624"
"rlgraph/rlgraph","https://github.com/rlgraph/rlgraph.git","torch,tensorflow","6","219"
"shayneobrien/coreference-resolution","https://github.com/shayneobrien/coreference-resolution.git","torch","3","125"
"DedSecInside/Awesome-Scripts","https://github.com/DedSecInside/Awesome-Scripts.git","sklearn","43","61"
"wkcn/MobulaOP","https://github.com/wkcn/MobulaOP.git","torch","5","140"
"titu1994/keras-one-cycle","https://github.com/titu1994/keras-one-cycle.git","keras,tensorflow","5","207"
"hamelsmu/code_search","https://github.com/hamelsmu/code_search.git","sklearn,tensorflow,keras,torch","5","415"
"TurkuNLP/Turku-neural-parser-pipeline","https://github.com/TurkuNLP/Turku-neural-parser-pipeline.git","keras","6","55"
"bureaucratic-labs/dostoevsky","https://github.com/bureaucratic-labs/dostoevsky.git","sklearn","3","89"
"songyouwei/ABSA-PyTorch","https://github.com/songyouwei/ABSA-PyTorch.git","sklearn,torch","6","717"
"facebookresearch/hypernymysuite","https://github.com/facebookresearch/hypernymysuite.git","sklearn","5","78"
"GoogleCloudPlatform/tensorflow-without-a-phd","https://github.com/GoogleCloudPlatform/tensorflow-without-a-phd.git","tensorflow","11","2156"
"MillionIntegrals/vel","https://github.com/MillionIntegrals/vel.git","torch,tensorflow","4","264"
"cgnorthcutt/cleanlab","https://github.com/cgnorthcutt/cleanlab.git","sklearn,torch","3","665"
"huanglianghua/open-vot","https://github.com/huanglianghua/open-vot.git","caffe,torch","4","84"
"jkkummerfeld/text2sql-data","https://github.com/jkkummerfeld/text2sql-data.git","tensorflow","4","208"
"kubeflow/pipelines","https://github.com/kubeflow/pipelines.git","sklearn,tensorflow,keras,torch","103","1323"
"sirius-ai/MobileFaceNet_TF","https://github.com/sirius-ai/MobileFaceNet_TF.git","sklearn,tensorflow","3","192"
"voxelmorph/voxelmorph","https://github.com/voxelmorph/voxelmorph.git","tensorflow,keras,torch","4","605"
"olgaliak/active-learning-detect","https://github.com/olgaliak/active-learning-detect.git","tensorflow","3","54"
"fairlearn/fairlearn","https://github.com/fairlearn/fairlearn.git","sklearn","11","158"
"vanvalenlab/deepcell-tf","https://github.com/vanvalenlab/deepcell-tf.git","sklearn,tensorflow,keras","12","79"
"sherpa-ai/sherpa","https://github.com/sherpa-ai/sherpa.git","sklearn,keras,tensorflow","11","232"
"qfgaohao/pytorch-ssd","https://github.com/qfgaohao/pytorch-ssd.git","tensorflow,torch","9","734"
"bitextor/bicleaner","https://github.com/bitextor/bicleaner.git","sklearn","7","51"
"CodeLabClub/codelab_adapter_extensions","https://github.com/CodeLabClub/codelab_adapter_extensions.git","tensorflow","4","86"
"choosehappy/HistoQC","https://github.com/choosehappy/HistoQC.git","sklearn","5","61"
"HazyResearch/metal","https://github.com/HazyResearch/metal.git","sklearn,torch","15","339"
"ianwhale/nsga-net","https://github.com/ianwhale/nsga-net.git","torch","3","102"
"KengoA/fantasy-basketball","https://github.com/KengoA/fantasy-basketball.git","sklearn","3","92"
"dnanexus/parliament2","https://github.com/dnanexus/parliament2.git","sklearn","4","69"
"ai-med/quickNAT_pytorch","https://github.com/ai-med/quickNAT_pytorch.git","torch","4","53"
"sdv-dev/TGAN","https://github.com/sdv-dev/TGAN.git","sklearn,tensorflow","6","103"
"shelhamer/revolver","https://github.com/shelhamer/revolver.git","torch","3","107"
"CiscoAI/amla","https://github.com/CiscoAI/amla.git","tensorflow","3","113"
"hse-aml/hadron-collider-machine-learning","https://github.com/hse-aml/hadron-collider-machine-learning.git","sklearn","3","59"
"DeepSpectrum/DeepSpectrum","https://github.com/DeepSpectrum/DeepSpectrum.git","tensorflow,torch","3","52"
"LeelaChessZero/lczero-training","https://github.com/LeelaChessZero/lczero-training.git","tensorflow","14","56"
"ml4tp/gamepad","https://github.com/ml4tp/gamepad.git","torch","3","58"
"ruotianluo/Transformer_Captioning","https://github.com/ruotianluo/Transformer_Captioning.git","torch","3","129"
"Azure-Samples/Custom-vision-service-iot-edge-raspberry-pi","https://github.com/Azure-Samples/Custom-vision-service-iot-edge-raspberry-pi.git","tensorflow","12","101"
"khundman/telemanom","https://github.com/khundman/telemanom.git","keras","6","444"
"6-Billionaires/trading-gym","https://github.com/6-Billionaires/trading-gym.git","keras","6","132"
"blcu-nlp/NLPCC_2018_TASK2_GEC","https://github.com/blcu-nlp/NLPCC_2018_TASK2_GEC.git","torch","3","51"
"amueller/scipy-2018-sklearn","https://github.com/amueller/scipy-2018-sklearn.git","sklearn","14","235"
"allenai/allennlp-demo","https://github.com/allenai/allennlp-demo.git","torch","18","99"
"hou-yz/open-reid-tracking","https://github.com/hou-yz/open-reid-tracking.git","sklearn,torch","5","53"
"CSBDeep/CSBDeep","https://github.com/CSBDeep/CSBDeep.git","tensorflow,keras","3","98"
"MadryLab/robust-features-code","https://github.com/MadryLab/robust-features-code.git","tensorflow","4","74"
"slinderman/ssm","https://github.com/slinderman/ssm.git","sklearn","10","176"
"ruotianluo/DiscCaptioning","https://github.com/ruotianluo/DiscCaptioning.git","torch,tensorflow","4","90"
"wjmaddox/swa_gaussian","https://github.com/wjmaddox/swa_gaussian.git","sklearn,torch","6","181"
"shinnytech/tqsdk-python","https://github.com/shinnytech/tqsdk-python.git","sklearn","12","1005"
"chakki-works/chariot","https://github.com/chakki-works/chariot.git","sklearn","3","110"
"vikasverma1077/manifold_mixup","https://github.com/vikasverma1077/manifold_mixup.git","torch,tensorflow","3","202"
"ldeecke/gmm-torch","https://github.com/ldeecke/gmm-torch.git","torch","3","86"
"NVlabs/PWC-Net","https://github.com/NVlabs/PWC-Net.git","caffe,torch","4","810"
"funcwj/deep-clustering","https://github.com/funcwj/deep-clustering.git","sklearn,torch","3","74"
"raybellwaves/xskillscore","https://github.com/raybellwaves/xskillscore.git","sklearn","4","52"
"Lab41/cyphercat","https://github.com/Lab41/cyphercat.git","sklearn,tensorflow,torch","11","65"
"ucbrise/cirrus","https://github.com/ucbrise/cirrus.git","sklearn","5","75"
"batra-mlp-lab/visdial-rl","https://github.com/batra-mlp-lab/visdial-rl.git","sklearn,torch","4","147"
"BradleyGrantham/pl-predictions-using-fifa","https://github.com/BradleyGrantham/pl-predictions-using-fifa.git","tensorflow","3","76"
"cpmpercussion/keras-mdn-layer","https://github.com/cpmpercussion/keras-mdn-layer.git","keras,tensorflow","3","98"
"tatarchm/tangent_conv","https://github.com/tatarchm/tangent_conv.git","tensorflow","3","97"
"SenticNet/CASCADE","https://github.com/SenticNet/CASCADE.git","tensorflow","4","52"
"Teichlab/bbknn","https://github.com/Teichlab/bbknn.git","sklearn","5","51"
"ml5js/training-charRNN","https://github.com/ml5js/training-charRNN.git","tensorflow","5","55"
"dominhhai/captcha-breaker","https://github.com/dominhhai/captcha-breaker.git","tensorflow","3","51"
"facebookresearch/LASER","https://github.com/facebookresearch/LASER.git","torch","10","2113"
"exoplanet-dev/exoplanet","https://github.com/exoplanet-dev/exoplanet.git","theano","5","85"
"WillKoehrsen/feature-selector","https://github.com/WillKoehrsen/feature-selector.git","sklearn","3","1660"
"spcl/ncc","https://github.com/spcl/ncc.git","sklearn,keras,tensorflow","4","80"
"garyexplains/examples","https://github.com/garyexplains/examples.git","tensorflow","3","88"
"daniilidis-group/EV-FlowNet","https://github.com/daniilidis-group/EV-FlowNet.git","tensorflow","3","61"
"stanfordmlgroup/ngboost","https://github.com/stanfordmlgroup/ngboost.git","sklearn","11","422"
"shaohua0116/demo2program","https://github.com/shaohua0116/demo2program.git","tensorflow","3","76"
"sarnthil/unify-emotion-datasets","https://github.com/sarnthil/unify-emotion-datasets.git","sklearn","4","84"
"dbolya/yolact","https://github.com/dbolya/yolact.git","sklearn,torch","4","2360"
"AliaksandrSiarohin/monkey-net","https://github.com/AliaksandrSiarohin/monkey-net.git","sklearn,torch","6","176"
"google/gin-config","https://github.com/google/gin-config.git","torch,tensorflow","4","634"
"airlab-unibas/airlab","https://github.com/airlab-unibas/airlab.git","torch","5","149"
"rtqichen/ffjord","https://github.com/rtqichen/ffjord.git","sklearn,torch","3","330"
"tensorflow/adanet","https://github.com/tensorflow/adanet.git","tensorflow,keras","22","2943"
"opencv/cvat","https://github.com/opencv/cvat.git","tensorflow","53","2851"
"amzn/xfer","https://github.com/amzn/xfer.git","sklearn,torch","5","153"
"PrefectHQ/prefect","https://github.com/PrefectHQ/prefect.git","sklearn","39","1575"
"oreilly-japan/deep-learning-with-keras-ja","https://github.com/oreilly-japan/deep-learning-with-keras-ja.git","sklearn,tensorflow,keras","3","113"
"baidu/Senta","https://github.com/baidu/Senta.git","sklearn","4","801"
"tensorflow/data-validation","https://github.com/tensorflow/data-validation.git","sklearn,tensorflow","15","420"
"vlukiyanov/pt-dec","https://github.com/vlukiyanov/pt-dec.git","sklearn,torch","4","81"
"cgnorthcutt/hypopt","https://github.com/cgnorthcutt/hypopt.git","sklearn","4","54"
"pm4py/pm4py-source","https://github.com/pm4py/pm4py-source.git","sklearn","14","216"
"crazydonkey200/neural-symbolic-machines","https://github.com/crazydonkey200/neural-symbolic-machines.git","tensorflow","3","261"
"XanaduAI/QMLT","https://github.com/XanaduAI/QMLT.git","tensorflow","3","96"
"mikgroup/sigpy","https://github.com/mikgroup/sigpy.git","torch","10","89"
"vita-epfl/CrowdNav","https://github.com/vita-epfl/CrowdNav.git","torch","4","132"
"kk7nc/Text_Classification","https://github.com/kk7nc/Text_Classification.git","sklearn,keras","7","758"
"Octavian-ai/mac-graph","https://github.com/Octavian-ai/mac-graph.git","tensorflow","3","96"
"alshedivat/lola","https://github.com/alshedivat/lola.git","tensorflow","4","89"
"CeLuigi/models-comparison.pytorch","https://github.com/CeLuigi/models-comparison.pytorch.git","torch","10","119"
"Finance-Hub/FinanceHub","https://github.com/Finance-Hub/FinanceHub.git","sklearn","7","85"
"kaka-lin/stock-price-predict","https://github.com/kaka-lin/stock-price-predict.git","sklearn,keras","4","53"
"fastai/fastai_old","https://github.com/fastai/fastai_old.git","torch","14","168"
"jwyang/graph-rcnn.pytorch","https://github.com/jwyang/graph-rcnn.pytorch.git","torch","6","417"
"WING-NUS/sequicity","https://github.com/WING-NUS/sequicity.git","torch","5","127"
"IBM/MAX-Audio-Classifier","https://github.com/IBM/MAX-Audio-Classifier.git","tensorflow","12","79"
"Wikidata/soweego","https://github.com/Wikidata/soweego.git","sklearn,tensorflow,keras","4","62"
"chaiyujin/glow-pytorch","https://github.com/chaiyujin/glow-pytorch.git","torch,tensorflow","3","291"
"HCPLab-SYSU/ATEN","https://github.com/HCPLab-SYSU/ATEN.git","sklearn,theano,keras,tensorflow","3","54"
"IBM/audioset-classification","https://github.com/IBM/audioset-classification.git","sklearn,keras,torch","7","65"
"ugent-korea/pytorch-unet-segmentation","https://github.com/ugent-korea/pytorch-unet-segmentation.git","torch","4","98"
"MouseLand/suite2p","https://github.com/MouseLand/suite2p.git","sklearn","12","106"
"tensorflow/examples","https://github.com/tensorflow/examples.git","sklearn,keras,tensorflow","214","3341"
"sunnyxiaohu/R-C3D.pytorch","https://github.com/sunnyxiaohu/R-C3D.pytorch.git","sklearn,tensorflow,torch","3","156"
"PreferredAI/cornac","https://github.com/PreferredAI/cornac.git","tensorflow,torch","10","137"
"plotly/dash-bio","https://github.com/plotly/dash-bio.git","sklearn","23","198"
"PacktPublishing/Hands-On-Natural-Language-Processing-with-Python","https://github.com/PacktPublishing/Hands-On-Natural-Language-Processing-with-Python.git","sklearn,tensorflow,keras","3","52"
"FIGLAB/ubicoustics","https://github.com/FIGLAB/ubicoustics.git","keras,tensorflow","3","92"
"microsoft/constrained-graph-variational-autoencoder","https://github.com/microsoft/constrained-graph-variational-autoencoder.git","tensorflow","4","92"
"BUG1989/caffe-int8-convert-tools","https://github.com/BUG1989/caffe-int8-convert-tools.git","caffe","3","398"
"brianhie/scanorama","https://github.com/brianhie/scanorama.git","sklearn","4","94"
"aws-samples/deep-learning-models","https://github.com/aws-samples/deep-learning-models.git","tensorflow","5","66"
